Area Code	Area Name	" Total recorded crime
 (excluding fraud)
 [note 2]"	Violence against the person	Homicide	Violence with injury	Violence without injury	Stalking and harassment	Death or serious injury - unlawful driving	Sexual offences	Robbery	Theft offences	Burglary	Residential burglary	Non-residential burglary	Vehicle offences	Theft from the person	Bicycle theft	Shoplifting	Other theft offences	Criminal damage and arson	Drug offences	Possession of weapons offences	Public order offences	Miscellaneous crimes against society
K04000001	ENGLAND AND WALES [note 3]	5 527 664	2 112 624	616	575 904	827 835	707 267	1 002	194 621	71 983	1 669 550	274 961	192 315	82 646	397 231	106 606	77 876	315 040	497 836	534 481	179 806	55 567	592 323	116 709
E92000001	ENGLAND 	5 192 383	1 985 107	584	543 126	779 466	660 963	968	182 655	69 670	1 583 807	264 725	185 681	79 044	384 734	97 963	69 795	296 679	469 911	495 393	168 903	53 135	543 137	110 576
E12000001	North East	283 259	107 520	35	29959	38274	39199	53	9 854	1 960	77 399	14 271	10 264	4 007	15 498	1 525	3 001	20 586	22 518	39 246	6 504	2 510	31 196	7 070
E23000013	Cleveland	81 690	30 493	11	7296	11006	12162	18	2 590	888	22 727	4 881	3 761	1 120	4 240	565	825	6 681	5 535	10 708	2 295	744	9 205	2 040
E23000008	Durham	61 503	24 666	4	5721	9177	9745	19	2 255	190	14 664	2 948	2 003	945	2 513	166	380	4 503	4 154	9 472	1 446	437	6 658	1 715
E23000007	Northumbria	140 066	52 361	20	16942	18091	17292	16	5 009	882	40 008	6 442	4 500	1 942	8 745	794	1 796	9 402	12 829	19 066	2 763	1 329	15 333	3 315
E12000002	North West	797 100	323 362	81	78 578	126 666	117 854	183	26 686	7 899	199 640	40 598	29 830	10 768	43 087	9 970	7 173	37 604	61 208	77 655	28 021	8 587	106 415	18 835
E23000006	Cheshire	86 723	39 747	3	10046	13584	16097	17	3 586	378	17 859	3 185	2 402	783	2 774	381	949	4 429	6 141	7 478	2 179	564	13 121	1 811
E23000002	Cumbria	39 018	17 181	1	5004	6324	5829	23	1 756	152	7 727	1 620	1 011	609	915	107	227	2 015	2 843	5 203	1 091	398	4 699	811
E23000005	Greater Manchester	366 621	138 994	36	31111	54529	53228	90	11 579	5 121	102 154	22 250	16 964	5 286	24 610	6 462	3 112	15 864	29 856	33 035	9 699	4 747	51 945	9 347
E23000003	Lancashire	133 786	57 519	15	17087	22094	18297	26	5 040	1 017	37 058	7 548	4 964	2 584	7 588	819	1 242	8 074	11 787	16 136	2 553	1 538	9 663	3 262
E23000004	Merseyside	170 952	69 921	26	15330	30135	24403	27	4 725	1 231	34 842	5 995	4 489	1 506	7 200	2 201	1 643	7 222	10 581	15 803	12 499	1 340	26 987	3 604
E12000003	Yorkshire and The Humber	615 973	247 433	71	63 993	89 637	93 630	102	19 559	5 810	164 717	33 240	24 181	9 059	35 866	5 228	6 248	38 509	45 626	64 305	15 399	5 472	77 735	15 543
E23000012	Humberside	97 586	37 522	10	11448	13194	12866	4	3 289	792	27 174	5 500	4 224	1 276	3 938	486	2 040	7 944	7 266	11 703	1 571	532	12 325	2 678
E23000009	North Yorkshire	48 388	20 629	6	6870	8052	5699	2	2 164	231	12 398	2 110	1 303	807	1 652	295	1 085	3 282	3 974	5 542	1 375	348	4 872	829
E23000011	South Yorkshire	159 262	57 917	24	16427	21018	20424	24	4 525	1 864	48 436	11 671	8 746	2 925	13 140	1 143	986	9 441	12 055	18 281	3 902	1 940	17 435	4 962
E23000010	West Yorkshire	310 737	131 365	31	29248	47373	54641	72	9 581	2 923	76 709	13 959	9 908	4 051	17 136	3 304	2 137	17 842	22 331	28 779	8 551	2 652	43 103	7 074
E12000004	East Midlands	416 429	163 893	39	47911	60407	55443	93	16 512	3 683	117 535	20 762	14 221	6 541	24 228	3 225	5 429	28 575	35 316	44 273	12 750	4 742	42 357	10 684
E23000018	Derbyshire	83 798	35 564	5	8970	13846	12715	28	3 519	718	20 438	3 724	2 563	1 161	4 487	731	608	4 219	6 669	8 628	2 067	967	9 927	1 970
E23000021	Leicestershire	105 906	40 687	7	13354	12770	14536	20	3 982	746	28 927	5 468	3 752	1 716	6 882	915	1 962	4 333	9 367	11 053	3 181	844	13 901	2 585
E23000020	Lincolnshire	59 169	24 128	6	6977	9294	7841	10	2 490	381	16 969	3 411	2 313	1 098	2 622	180	957	5 018	4 781	6 685	1 417	527	5 144	1 428
E23000022	Northamptonshire	63 514	27 626	9	7358	11078	9166	15	2 928	788	16 753	3 002	2 006	996	4 059	360	470	3 484	5 378	6 108	2 129	971	4 568	1 643
E23000019	Nottinghamshire	104 042	35 888	12	11252	13419	11185	20	3 593	1 050	34 448	5 157	3 587	1 570	6 178	1 039	1 432	11 521	9 121	11 799	3 956	1 433	8 817	3 058
E12000005	West Midlands	592 675	250 031	82	67 760	93 230	88 875	84	19 871	10 188	173 162	32 618	23 619	8 999	52 889	5 729	4 737	31 079	46 110	51 557	13 189	9 541	54 159	10 977
E23000015	Staffordshire	89 447	39 937	9	11886	11349	16689	4	3 622	872	24 229	4 096	2 777	1 319	5 625	508	977	5 218	7 805	8 786	2 319	798	7 053	1 831
E23000017	Warwickshire	41 348	15 715	5	4679	6225	4794	12	1 614	362	13 626	2 246	1 487	759	4 519	232	476	2 259	3 894	4 022	906	543	3 616	944
E23000016	West Mercia	95 171	39 824	23	11492	13958	14310	41	4 089	677	26 694	5 072	3 511	1 561	4 980	493	756	7 113	8 280	9 128	2 012	1 014	9 910	1 823
E23000014	West Midlands	366 709	154 555	45	39 703	61 698	53 082	27	10 546	8 277	108 613	21 204	15 844	5 360	37 765	4 496	2 528	16 489	26 131	29 621	7 952	7 186	33 580	6 379
E12000006	East	483 460	194 786	52	50556	84510	59509	159	19 399	3 949	138 850	20 393	13 481	6 912	34 312	4 371	7 144	30 620	42 010	46 634	15 578	4 963	48 004	11 297
E23000026	Bedfordshire	51 853	18 565	11	4 959	8 082	5 491	22	1 683	605	17 491	2 636	1 629	1 007	5 226	473	770	3 545	4 841	4 563	1 834	548	5 396	1 168
E23000023	Cambridgeshire	69 716	25 633	5	5 769	12 122	7 690	47	2 703	614	21 737	3 461	2 027	1 434	4 839	733	2 154	4 335	6 215	6 836	1 956	768	7 694	1 775
E23000028	Essex	165 872	70 195	16	16 130	29 182	24 838	29	6 335	1 459	44 860	6 707	4 789	1 918	13 005	1 217	1 586	9 392	12 953	15 199	5 464	1 665	17 173	3 522
E23000027	Hertfordshire	75 350	27 024	7	8 744	12 248	5 995	30	2 575	620	28 592	3 604	2 431	1 173	7 361	1 095	1 033	6 550	8 949	7 462	2 311	542	4 799	1 425
E23000024	Norfolk	68 077	30 482	9	8 630	12 571	9 257	15	3 361	355	14 011	2 078	1 327	751	1 804	418	944	3 686	5 081	7 183	2 280	831	7 423	2 151
E23000025	Suffolk	52 592	22 887	4	6 324	10 305	6 238	16	2 742	296	12 159	1 907	1 278	629	2 077	435	657	3 112	3 971	5 391	1 733	609	5 519	1 256
E12000007	London	874 555	241 728	109	77 776	101 485	62 277	81	25 178	27 734	402 327	53 832	37 711	16 121	108 916	58 671	18 498	38 782	123 628	53 645	45 725	6 473	59 328	12 417
E23000034	City of London	7 291	1 161	1	356	697	107	0	123	108	4 302	294	11	283	189	1 325	180	679	1 635	280	580	54	479	204
E23000001	Metropolitan Police	867 264	240 567	108	77 420	100 788	62 170	81	25 055	27 626	398 025	53 538	37 700	15 838	108 727	57 346	18 318	38 103	121 993	53 365	45 145	6 419	58 849	12 213
E12000008	South East	730 610	293 137	65	78 876	120 108	93 935	153	28 228	5 135	205 184	31 197	21 104	10 093	48 130	6 713	11 582	46 171	61 391	74 311	21 235	7 423	80 086	15 871
E23000030	Hampshire	175 322	74 882	16	21 795	27 814	25 243	14	7 310	1 276	44 432	8 573	5 994	2 579	10 788	975	2 643	9 186	12 267	15 913	5 345	2 139	21 335	2 690
E23000032	Kent	177 261	78 714	21	18 137	35 307	25 177	72	6 685	1 310	45 362	6 876	4 865	2 011	9 681	1 037	1 089	12 205	14 474	20 722	4 486	1 413	12 793	5 776
E23000031	Surrey	73 625	27 439	1	7 302	11 940	8 179	17	2 597	451	22 234	3 724	2 776	948	6 028	595	1 125	3 756	7 006	7 488	2 422	597	8 807	1 590
E23000033	Sussex	126 582	46 969	6	14 068	18 584	14 283	28	5 284	980	36 940	4 732	2 699	2 033	7 068	1 080	2 328	10 368	11 364	13 597	3 239	1 881	15 043	2 649
E23000029	Thames Valley	177 820	65 133	21	17 574	26 463	21 053	22	6 352	1 118	56 216	7 292	4 770	2 522	14 565	3 026	4 397	10 656	16 280	16 591	5 743	1 393	22 108	3 166
E12000009	South West	398 322	163 217	50	47717	65149	50241	60	17 368	3 312	104 993	17 814	11 270	6 544	21 808	2 531	5 983	24 753	32 104	43 767	10 502	3 424	43 857	7 882
E23000036	Avon and Somerset	141 724	53 289	16	13 182	22 826	17 262	3	5 325	1 587	41 352	6 585	4 403	2 182	9 375	885	2 907	9 936	11 664	14 129	2 885	917	19 678	2 562
E23000035	Devon and Cornwall	104 315	46 364	13	15 936	18 007	12 369	39	5 561	621	22 093	3 550	1 679	1 871	3 779	639	659	5 583	7 883	13 284	4 242	1 417	8 294	2 439
E23000039	Dorset	51 204	19 783	7	5 955	7 762	6 053	6	2 373	381	16 482	2 816	1 871	945	4 309	437	899	3 219	4 802	6 229	1 110	315	3 854	677
E23000037	Gloucestershire	57 297	25 602	9	6 188	9 038	10 363	4	2 166	367	13 381	2 922	2 083	839	2 086	301	820	2 892	4 360	5 056	1 123	347	7 931	1 324
E23000038	Wiltshire	43 782	18 179	5	6 456	7 516	4 194	8	1 943	356	11 685	1 941	1 234	707	2 259	269	698	3 123	3 395	5 069	1 142	428	4 100	880
W92000004	Wales	273 634	116 026	28	29577	40353	46034	34	10 034	1 034	60 423	9 936	6 634	3 302	10 712	1 436	2 572	16 725	19 042	31 687	8 089	1 833	38 777	5 731
W15000004	Dyfed-Powys	44 538	21 874	4	4 012	7 550	10 303	5	1 713	83	6 756	1 282	920	362	638	109	179	1 774	2 774	4 758	2 082	300	6 077	895
W15000002	Gwent	58 416	23 492	9	6 147	8 332	9 000	4	1 834	311	11 638	2 554	1 741	813	2 363	201	264	2 574	3 682	8 138	1 255	374	9 955	1 419
W15000001	North Wales	65 455	31 002	6	7 230	11 719	12 036	11	2 701	155	12 312	2 007	1 326	681	1 241	212	339	4 040	4 473	7 231	1 585	424	8 611	1 434
W15000003	South Wales	105 225	39 658	9	12 188	12 752	14 695	14	3 786	485	29 717	4 093	2 647	1 446	6 470	914	1 790	8 337	8 113	11 560	3 167	735	14 134	1 983
	British Transport Police	61 647	11 491	4	3201	8016	270	0	1 932	1 279	25 320	300	0	300	1 785	7 207	5 509	1 636	8 883	7 401	2 814	599	10 409	402
