Area Code	Area Name	"Total recorded crime (excluding fraud3)
"	Violence against the person4	Homicide	Violence with injury	Violence without injury	Stalking and harassment4	Death or serious injury caused by illegal driving4	Sexual offences	Robbery	Theft offences	Burglary	Domestic burglary	Non-domestic burglary	Vehicle offences	Theft from the person	Bicycle theft	Shoplifting	Other theft offences	Criminal damage and arson
K04000001	ENGLAND AND WALES5	4503460	1229260	664	480748	504051	243086	711	129700	64499	1940040	423137	235335	187802	427561	92435	100788	377172	518947	578596
E92000001	ENGLAND	4240153	1155802	623	452997	473555	227946	681	121237	63273	1838426	406489	227189	179300	411396	85916	91427	355408	487790	539800
E12000001	North East	236296	65413	25	22591	25057	17713	27	6786	1373	90870	18921	9135	9786	14581	1905	3931	24772	26760	40319
E23000013	Cleveland	52749	13423	4	5435	5553	2425	6	1470	403	23576	5033	2740	2293	3789	467	1015	7131	6141	9260
E23000008	Durham	51429	16532	4	5136	5896	5486	10	1543	176	17949	4646	2160	2486	3314	258	603	4089	5039	9205
E23000007	Northumbria	132118	35458	17	12020	13608	9802	11	3773	794	49345	9242	4235	5007	7478	1180	2313	13552	15580	21854
E12000002	North West6	618899	166904	123	65793	66866	34039	83	16894	7953	250301	63483	37253	26230	53565	10837	10387	47206	64823	90042
E23000006	Cheshire	71342	20285	4	8556	7263	4451	11	1855	305	23760	4690	2381	2309	3719	558	1414	7089	6290	9471
E23000002	Cumbria	25876	7648	3	3474	3283	878	10	1078	79	9053	1955	840	1115	1170	178	307	2845	2598	5176
E23000005	Greater Manchester	294581	76404	76	24744	35822	15724	38	7663	5401	120690	32173	19895	12278	27661	6812	4950	18435	30659	39544
E23000003	Lancashire	111899	32338	16	15729	11431	5151	11	3469	854	49645	13000	6411	6589	10587	1393	1771	8982	13912	18329
E23000004	Merseyside	115201	30229	24	13290	9067	7835	13	2829	1314	47153	11665	7726	3939	10428	1896	1945	9855	11364	17522
E12000003	Yorkshire and the Humber	496278	134710	60	50861	54000	29667	122	14072	5093	214703	54886	30695	24191	47870	7422	7407	43266	53852	70264
E23000012	Humberside	80823	23215	4	9816	9984	3389	22	2469	777	33885	9012	4339	4673	6221	608	2012	8395	7637	12530
E23000009	North Yorkshire	37359	9876	7	4658	3942	1261	8	1465	161	16116	3681	1592	2089	2150	447	1250	4221	4367	5756
E23000011	South Yorkshire	131045	31838	16	13227	10375	8174	46	3575	1571	60608	15690	9189	6501	13954	1848	1444	12411	15261	19490
E23000010	West Yorkshire	247051	69781	33	23160	29699	16843	46	6563	2584	104094	26503	15575	10928	25545	4519	2701	18239	26587	32488
