Area Code	Area Name	Total	Violence against the person	Homicide	Violence with injury	Violence without injury	Stalking and harassment4	Death or serious injury - unlawful driving	Sexual offences	Robbery	Theft offences	Burglary	Residential burglary5	Non-residential burglary5	Vehicle offences	Theft from the person	Bicycle theft	Shoplifting	Other theft offences	Criminal damage and arson
K04000001	ENGLAND AND WALES 6	5032544	1750750	725	512743	717824	518688	770	152977	79596	1715484	349271	246880	102391	424957	92815	82358	311320	454763	525309
E92000001	ENGLAND 	4724104	1643872	689	483459	675647	483337	740	142996	77680	1623641	336053	238097	97956	411011	81956	74894	292782	426945	487758
E12000001	North East	265771	94697	27	24017	34642	35996	15	7833	1618	78416	15346	10758	4588	14620	1929	2680	20852	22989	37949
E23000013	Cleveland	67183	23675	11	5485	9135	9040	4	1806	634	20773	4939	3744	1195	3765	405	627	5828	5209	9699
E23000008	Durham	61889	25891	6	5428	8741	11705	11	1870	222	16477	3865	2659	1206	3022	192	431	4208	4759	8577
E23000007	Northumbria	136699	45131	10	13104	16766	15251	0	4157	762	41166	6542	4355	2187	7833	1332	1622	10816	13021	19673
E12000002	North West	675164	243216	114	67484	101174	74289	155	20192	8977	209713	50300	36139	14161	48878	10153	7878	37565	54939	74354
E23000006	Cheshire	92174	38613	13	9910	13901	14784	5	2954	482	21186	4257	3158	1099	3310	554	1270	5749	6046	9460
E23000002	Cumbria	36137	15408	7	4410	5889	5085	17	1407	142	7739	1935	1259	676	979	122	222	1881	2600	5163
E23000005	Greater Manchester	278374	85465	46	23911	38347	23097	64	8311	6079	103692	25325	18768	6557	28398	6608	3579	14737	25045	28684
E23000003	Lancashire	134788	55076	28	15051	22734	17223	40	4181	1043	41775	10526	6821	3705	8114	864	1183	8127	12961	16343
E23000004	Merseyside	133691	48654	20	14202	20303	14100	29	3339	1231	35321	8257	6133	2124	8077	2005	1624	7071	8287	14704
E12000003	Yorkshire and The Humber	555135	204090	61	55941	76877	71076	135	16619	5690	171497	42808	30790	12018	38930	5394	5503	36126	42736	61628
E23000012	Humberside	92732	33488	10	10315	13220	9913	30	2784	810	28668	7138	5402	1736	4789	500	1555	7942	6744	11907
E23000009	North Yorkshire	44129	16386	6	5993	6477	3883	27	1754	218	14453	3225	1992	1233	2219	338	1071	3678	3922	5181
E23000011	South Yorkshire	143171	47865	18	14017	15441	18369	20	4177	1656	48341	12963	9175	3788	12569	1438	957	8745	11669	16123
E23000010	West Yorkshire	275103	106351	27	25616	41739	38911	58	7904	3006	80035	19482	14221	5261	19353	3118	1920	15761	20401	28417
E12000004	East Midlands	385748	140516	51	43830	55475	41092	68	12804	3898	123918	26556	17916	8640	29823	3455	5729	26363	31992	43017
E23000018	Derbyshire	78385	31538	9	9999	11691	9831	8	2618	720	21974	4918	3386	1532	4814	599	894	4598	6151	8712
E23000021	Leicestershire	90117	31306	10	9315	12902	9046	33	2554	928	29467	6267	4450	1817	8479	748	1495	4293	8185	10253
E23000020	Lincolnshire4	55804	21032	8	5879	9343	5800	2	2158	336	16967	4012	2623	1389	2891	194	945	4545	4380	6478
E23000022	Northamptonshire	61251	24141	12	7446	10152	6520	11	2395	849	19547	4259	2377	1882	5747	325	743	3688	4785	6379
E23000019	Nottinghamshire	100191	32499	12	11191	11387	9895	14	3079	1065	35963	7100	5080	2020	7892	1589	1652	9239	8491	11195
E12000005	West Midlands 	450117	173618	83	55878	67081	50515	61	14766	8982	152412	35704	25925	9779	43160	4036	4319	28610	36583	43800
E23000015	Staffordshire	75510	30131	13	8059	11540	10515	4	2781	701	23795	4359	2834	1525	5062	512	784	5888	7190	9469
E23000017	Warwickshire	40939	14796	8	4469	6155	4156	8	1473	383	15518	3197	2273	924	4465	311	515	2978	4052	3830
E23000016	West Mercia	83238	34136	12	10532	13129	10446	17	3215	591	26087	6112	4156	1956	4707	607	853	6655	7153	9019
E23000014	West Midlands	250430	94555	50	32818	36257	25398	32	7297	7307	87012	22036	16662	5374	28926	2606	2167	13089	18188	21482
E12000006	East 7	479058	176596	100	44883	80333	51152	128	15869	4636	152145	29247	20623	8624	37859	4598	10472	31127	38842	51404
E23000026	Bedfordshire	53785	17053	3	4390	7836	4805	19	1646	756	20792	4267	3026	1241	6533	575	1051	3528	4838	5365
E23000023	Cambridgeshire	65527	21398	15	5146	10863	5328	46	2108	708	23720	4551	3049	1502	4995	796	3772	3814	5792	7519
E23000028	Essex7	160479	64292	61	14547	26809	22853	22	4792	1440	45648	9234	6819	2415	13092	1141	1982	9009	11190	16825
E23000027	Hertfordshire	79452	26246	7	8091	12268	5847	33	2058	907	30938	5077	3646	1431	8073	1069	1521	7363	7835	8094
