Area Code;Area Name;"Total recorded crime
 (excluding fraud) 
[note 2]";Violence against the person;Homicide;Violence with injury;Violence without injury;Stalking and harassment;Death or serious injury - unlawful driving;Sexual offences;Robbery;Theft offences;Burglary;Residential burglary;Non-residential burglary;Vehicle offences;Theft from the person;Bicycle theft;Shoplifting;Other theft offences;Criminal damage and arson;Drug offences;Possession of weapons offences;Public order offences;Miscellaneous crimes
K04000001;ENGLAND AND WALES [note 3];5 494 256;2 049 254;577;563 211;820 542;663 526;1 398;191 052;81 094;1 789 462;271 449;186 174;85 275;389 887;125 563;68 612;430 104;503 847;508 936;181 645;58 989;516 661;117 163
E92000001;ENGLAND ;5 150 248;1 923 437;552;530 893;771 858;618 795;1 339;179 333;78 201;1 689 621;262 053;180 529;81 524;376 952;112 492;61 223;403 568;473 333;471 086;170 985;56 161;470 673;110 751
E12000001;North East;293 004;109 793;34;30 462;39 499;39 751;47;10 106;2 218;87 473;14 703;10 716;3 987;16 945;1 727;2 563;29 675;21 860;37 469;7 256;2 649;28 416;7 624
E23000013;Cleveland;79 356;29 612;11;7 312;10 768;11 499;22;2 630;817;23 563;4 861;3 842;1 019;4 565;390;669;7 710;5 368;9 793;2 459;700;7 679;2 103
E23000008;Durham;66 762;26 105;7;5 680;10 411;9 994;13;2 417;222;18 012;3 241;2 355;886;3 022;161;414;6 840;4 334;9 592;1 447;446;6 570;1 951
E23000007;Northumbria;146 886;54 076;16;17 470;18 320;18 258;12;5 059;1 179;45 898;6 601;4 519;2 082;9 358;1 176;1 480;15 125;12 158;18 084;3 350;1 503;14 167;3 570
E12000002;North West;753 266;304 446;72;75 202;120 302;108 646;224;25 877;7 800;198 051;35 040;24 489;10 551;40 555;10 380;6 651;45 062;60 363;71 437;33 087;8 922;85 250;18 396
E23000006;Cheshire;80 791;35 813;5;9 417;12 683;13 691;17;3 680;416;18 648;3 008;2 216;792;2 622;326;942;5 903;5 847;6 790;3 246;792;9 454;1 952
E23000002;Cumbria;36 297;15 601;4;4 676;5 965;4 918;38;1 562;177;7 761;1 375;831;544;993;120;241;2 180;2 852;4 505;1 584;536;3 718;853
E23000005;Greater Manchester;355 211;136 511;35;29 620;53 992;52 776;88;11 559;4 868;99 479;17 861;12 844;5 017;22 095;7 385;3 026;18 282;30 830;31 285;14 031;4 745;43 302;9 431
E23000003;Lancashire;128 605;54 090;21;17 029;20 377;16 649;14;4 837;1 132;38 333;7 306;4 751;2 555;7 842;788;1 176;10 350;10 871;14 776;2 862;1 745;7 887;2 943
E23000004;Merseyside;152 362;62 431;7;14 460;27 285;20 612;67;4 239;1 207;33 830;5 490;3 847;1 643;7 003;1 761;1 266;8 347;9 963;14 081;11 364;1 104;20 889;3 217
E12000003;Yorkshire and The Humber;611 655;245 820;61;61 850;89 278;94 471;160;19 855;6 411;175 180;35 016;25 206;9 810;34 810;5 053;5 742;50 148;44 411;58 896;16 462;5 608;67 268;16 155
E23000012;Humberside;104 986;43 214;11;12 098;14 077;17 019;9;3 615;996;27 793;5 635;4 263;1 372;3 479;446;1 657;9 255;7 321;11 150;1 596;797;13 106;2 719
E23000009;North Yorkshire;48 885;19 967;2;5 954;8 447;5 548;16;2 118;214;14 737;2 396;1 410;986;2 016;261;1 193;4 901;3 970;5 161;1 430;432;3 860;966
E23000011;South Yorkshire;156 748;55 746;18;16 237;19 442;20 030;19;4 551;2 014;50 600;11 248;8 616;2 632;12 195;1 114;861;13 800;11 382;16 261;4 656;2 108;15 645;5 167
E23000010;West Yorkshire;301 036;126 893;30;27 561;47 312;51 874;116;9 571;3 187;82 050;15 737;10 917;4 820;17 120;3 232;2 031;22 192;21 738;26 324;8 780;2 271;34 657;7 303
E12000004;East Midlands;413 572;159 534;55;47 337;59 294;52 799;49;15 928;3 827;123 834;19 837;13 847;5 990;23 223;2 933;4 787;38 325;34 729;41 374;13 641;5 021;40 013;10 400
E23000018;Derbyshire;90 671;37 435;14;9 265;14 755;13 382;19;3 380;713;24 110;4 159;2 925;1 234;4 580;663;668;6 660;7 380;8 684;2 311;1 011;11 086;1 941
E23000021;Leicestershire;101 654;38 850;15;13 173;12 170;13 489;3;3 787;866;29 061;5 047;3 485;1 562;6 598;856;1 486;5 949;9 125;10 460;3 381;933;11 936;2 380
