Area Codes	Area Name	Total recorded crime (excluding fraud4)	Violence against the person	Homicide	Violence with injury	Violence without injury	Sexual offences	Robbery	Theft offences	Burglary	Domestic burglary	Non-domestic burglary	Vehicle offences	Theft from the person	Bicycle theft	Shoplifting	All other theft offences	Criminal damage and arson
E23000013	Cleveland	44120	8766	4	4420	4342	992	331	21173	5212	2443	2769	3098	360	1086	6010	5407	8525
E23000008	Durham	32617	6808	2	3831	2975	1001	90	14783	3864	1278	2586	2571	180	544	3527	4097	6698
E23000007	Northumbria	76120	14177	19	8742	5416	2374	519	35720	7951	3180	4771	5389	831	1813	9855	9881	15135
E12000001	North East Region	152857	29751	25	16993	12733	4367	940	71676	17027	6901	10126	11058	1371	3443	19392	19385	30358
E23000006	Cheshire	52648	12059	2	5417	6640	1246	250	24351	5679	2360	3319	4288	1013	1449	6088	5834	8430
E23000002	Cumbria	25725	6870	8	3202	3660	781	63	9177	2034	748	1286	1155	114	414	2425	3035	5147
E23000005	Greater Manchester	209837	44804	37	19713	25054	5351	3487	103515	27852	15650	12202	22518	5382	4558	16426	26779	31285
E23000003	Lancashire	92276	21886	15	11099	10772	2151	594	44931	11978	4990	6988	8830	891	2265	8002	12965	15887
E23000004	Merseyside	99894	20478	25	10322	10131	2148	1089	45436	11506	6381	5125	9155	1784	1943	9880	11168	16499
E12000002	North West Region	480380	106097	87	49753	56257	11677	5483	227410	59049	30129	28920	45946	9184	10629	42821	59781	77248
E23000012	Humberside	66046	14131	11	7338	6782	1726	603	33704	9884	3795	6089	5610	469	2585	7380	7776	10431
E23000009	North Yorkshire	35280	7745	9	4058	3678	1092	161	16908	4015	1410	2605	2214	510	1224	4011	4934	5302
E23000011	South Yorkshire	95134	16675	13	9764	6898	2780	1021	50716	13383	6655	6728	10509	1700	1252	10637	13235	15901
E23000010	West Yorkshire	168908	33312	25	15423	17864	4848	1976	89114	24700	11679	13021	20118	3539	2182	14335	24240	24636
E12000003	Yorkshire and the Humber Region	365368	71863	58	36583	35222	10446	3761	190442	51982	23539	28443	38451	6218	7243	36363	50185	56270
E23000018	Derbyshire	52131	10546	7	6312	4227	1401	509	26445	6682	2660	4022	5794	564	1015	5930	6460	8219
E23000021	Leicestershire	58563	10822	9	4776	6037	1351	641	32155	7705	4009	3696	8106	733	2210	5973	7428	8730
E23000020	Lincolnshire	35455	6115	10	3247	2858	1012	185	18869	5251	1789	3462	3064	332	1257	4370	4595	5324
E23000022	Northamptonshire	46905	12303	10	5585	6708	1498	622	21142	5571	2304	3267	3976	603	892	4473	5627	7132
E23000019	Nottinghamshire	73918	17516	10	10007	7499	2050	955	35410	8489	3936	4553	6822	1207	2084	7988	8820	10515
E12000004	East Midlands Region	266972	57302	46	29927	27329	7312	2912	134021	33698	14698	19000	27762	3439	7458	28734	32930	39920
E23000015	Staffordshire	62559	18083	17	8932	9134	2019	564	26169	6127	2581	3546	4631	522	966	5882	8041	9596
E23000017	Warwickshire	28981	5949	7	3093	2849	806	253	15346	3633	1453	2180	3519	268	619	2772	4535	4213
E23000016	West Mercia	64718	17256	13	8219	9024	2333	414	29234	7370	2860	4510	5706	467	1116	6390	8185	9188
E23000014	West Midlands (Pfa)	177831	37807	29	21342	16436	3886	4828	90231	22150	11232	10918	24783	2894	3350	17489	19565	24641
E12000005	West Midlands Region	334089	79095	66	41586	37443	9044	6059	160980	39280	18126	21154	38639	4151	6051	32533	40326	47638
E23000026	Bedfordshire	39396	9632	2	4419	5211	886	536	18945	4926	2961	1965	4586	397	922	3283	4831	5583
E23000023	Cambridgeshire	46755	9516	7	4032	5477	1241	503	24238	5225	2255	2970	4059	780	3861	3990	6323	6524
E23000028	Essex	100729	23509	15	10349	13145	2543	941	50238	13209	6958	6251	12319	1281	2223	9134	12072	13770
E23000027	Hertfordshire	58013	12732	8	6039	6685	1302	443	27641	6384	3043	3341	5680	1039	1356	5738	7444	8360
E23000024	Norfolk	45798	12529	7	4951	7571	1601	224	17052	3420	1350	2070	2359	350	1333	3892	5698	7424
E23000025	Suffolk	40613	9679	5	4289	5385	1342	181	17247	3952	1495	2457	3333	299	1290	3687	4686	6803
E12000006	East of England Region	331304	77597	44	34079	43474	8915	2828	155361	37116	18062	19054	32336	4146	10985	29724	41054	48464
E23000034	London, City of	5386	743	1	360	382	69	33	3506	248	28	220	186	428	353	630	1661	217
E23000001	Metropolitan Police	716929	168109	100	71177	96832	15134	21883	357918	72754	46598	26156	82148	33309	17555	42067	110085	60468
E12000007	London Region	722315	168852	101	71537	97214	15203	21916	361424	73002	46626	26376	82334	33737	17908	42697	111746	60685
E23000030	Hampshire	121250	33987	14	15615	18358	3858	717	47832	11182	3774	7408	7715	1270	3658	10525	13482	17583
E23000032	Kent	109082	29327	18	12810	16499	2730	962	50746	11902	4992	6910	9940	955	1744	11459	14746	17900
E23000031	Surrey	52925	12186	12	5367	6807	1417	234	23791	5858	2455	3403	4104	292	1056	3931	8550	8121
E23000033	Sussex	91438	23334	12	10280	13042	2632	613	39750	8057	3343	4714	6587	1705	2215	8143	13043	13600
E23000029	Thames Valley	123798	23262	15	9781	13466	3938	884	65756	11221	4279	6942	11583	3237	5168	14333	20214	17326
E12000008	South East Region	498493	122096	71	53853	68172	14575	3410	227875	48220	18843	29377	39929	7459	13841	48391	70035	74530
E23000036	Avon and Somerset	101669	22001	10	9475	12516	2533	949	49963	10847	4466	6381	9021	1450	3119	11839	13687	14259
E23000035	Devon and Cornwall	79648	22334	13	11097	11224	2788	387	30843	6395	2741	3654	4661	749	1031	7596	10411	13222
E23000039	Dorset	37303	8161	6	4138	4017	1061	169	18828	4437	1400	3037	3741	422	1162	3922	5144	5810
E23000037	Gloucestershire	29700	5311	8	3316	1987	692	249	16709	4811	2040	2771	2840	266	1006	3486	4300	4660
E23000038	Wiltshire	33397	8435	4	4323	4108	1162	166	15081	3772	1221	2551	2293	303	774	3482	4457	5413
E12000009	South West Region	281717	66242	41	32349	33852	8236	1920	131424	30262	11868	18394	22556	3190	7092	30325	37999	43364
E92000001	ENGLAND	3433495	778895	539	366660	411696	89775	49229	1660613	389636	188792	200844	339011	72895	84650	310980	463441	478477
W15000004	Dyfed-Powys	19690	4934	3	2544	2387	813	28	6332	1302	562	740	944	57	190	1385	2454	3598
W15000002	Gwent	36996	8796	7	4101	4688	850	164	16274	4178	1551	2627	3476	213	456	3217	4734	6663
W15000001	North Wales	35921	9522	6	4613	4903	1193	128	14647	3794	1374	2420	2012	204	547	3816	4274	6713
W15000003	South Wales	89831	21355	12	10420	10923	1710	364	41004	8752	3537	5215	8768	1299	2070	8839	11276	13315
W92000004	WALES	182438	44607	28	21678	22901	4566	684	78257	18026	7024	11002	15200	1773	3263	17257	22738	30289
	British Transport Police	44617	6787	2	2200	4585	1141	326	21877	426	0	426	879	5205	4984	1977	8406	4779
K04000001	ENGLAND AND WALES	3660550	830289	569	390538	439182	95482	50239	1760747	408088	195816	212272	355090	79873	92897	330214	494585	513545
