Area Code	Area Name	Total recorded crime (excluding fraud3)	Violence against the person	Homicide	Violence with injury	Violence without injury	Sexual offences	Robbery	Theft offences	Burglary	Domestic burglary	Non-domestic burglary	Vehicle offences	Theft from the person	Bicycle theft	Shoplifting	All other theft offences	Criminal damage and arson
K04000001	ENGLAND AND WALES4	3949550	1035162	681	439146	595335	108762	51419	1756937	398406	195286	203120	367447	83470	84794	340719	482101	541479
E92000001	ENGLAND	3710046	972533	644	413369	558520	101792	50364	1661255	381364	188301	193063	352128	76412	77398	320964	452989	504525
E12000001	North East	190022	48050	20	20851	27179	5469	1045	78562	18187	7197	10990	11944	1537	3135	21402	22357	35258
E23000013	Cleveland	48872	11478	7	5086	6385	1334	331	22609	5487	2380	3107	3438	373	899	6667	5745	8947
E23000008	Durham	38772	11032	0	4366	6666	1156	146	15204	4431	1608	2823	2599	194	454	3575	3951	7379
E23000007	Northumbria	102378	25540	13	11399	14128	2979	568	40749	8269	3209	5060	5907	970	1782	11160	12661	18932
E12000002	North West	507194	127425	76	57810	69539	13414	5581	224437	57882	30988	26894	46904	9571	9424	41861	58795	81671
E23000006	Cheshire	53190	14332	3	7429	6900	1447	259	21844	4895	2030	2865	3524	752	1198	5672	5803	8253
E23000002	Cumbria	25766	7386	3	3376	4007	880	82	9065	2175	754	1421	1236	129	317	2594	2614	5138
E23000005	Greater Manchester5	225407	52240	46	21051	31143	5885	3527	105213	28151	16529	11622	23658	5838	4079	16595	26892	34425
E23000003	Lancashire	99731	27582	10	13512	14060	2869	630	44224	11688	5084	6604	8945	1079	1907	7680	12925	17599
E23000004	Merseyside	103100	25885	14	12442	13429	2333	1083	44091	10973	6591	4382	9541	1773	1923	9320	10561	16256
E12000003	Yorkshire and the Humber	421699	102822	158	45242	57422	11768	4213	197765	51313	24124	27189	43015	6657	7026	38531	51223	64426
E23000012	Humberside	70961	17486	10	8476	9000	1975	794	33135	10053	3787	6266	5418	574	2062	7393	7635	11861
E23000009	North Yorkshire	37130	9196	6	4589	4601	1229	148	16888	3903	1451	2452	2327	477	1470	4107	4604	5882
E23000011	South Yorkshire6	103111	21434	114	11379	9941	3135	1074	50909	12407	6175	6232	11985	1731	1194	10898	12694	17660
E23000010	West Yorkshire	210497	54706	28	20798	33880	5429	2197	96833	24950	12711	12239	23285	3875	2300	16133	26290	29023
E12000004	East Midlands	268299	63478	48	31521	31909	7309	2924	129785	33408	14719	18689	28190	3498	6301	28209	30179	40420
E23000018	Derbyshire	52783	12641	12	7332	5297	1622	533	24612	6216	2639	3577	5751	535	813	5676	5621	8304
E23000021	Leicestershire	61288	12957	8	4430	8519	1468	635	32178	7848	4264	3584	7980	917	1911	6125	7397	9321
E23000020	Lincolnshire	35914	7461	11	3932	3518	1158	210	17773	5277	1807	3470	2737	308	984	4180	4287	5340
E23000022	Northamptonshire	49145	13701	8	6217	7476	1265	684	22407	6320	2611	3709	4845	661	810	4782	4989	7203
E23000019	Nottinghamshire	69169	16718	9	9610	7099	1796	862	32815	7747	3398	4349	6877	1077	1783	7446	7885	10252
E12000005	West Midlands	365127	101289	63	47771	53455	10996	6378	161132	39225	19246	19979	38769	4500	5879	34420	38339	49297
E23000015	Staffordshire5	70732	24038	10	10467	13561	2547	552	25913	5773	2652	3121	4580	540	897	6230	7893	10684
E23000017	Warwickshire	32058	8783	9	3848	4926	1050	231	14634	3430	1488	1942	3021	357	619	3041	4166	4349
E23000016	West Mercia	73429	23502	12	9771	13719	2794	482	29144	7679	2787	4892	5272	634	1038	6484	8037	9625
E23000014	West Midlands	188908	44966	32	23685	21249	4605	5113	91441	22343	12319	10024	25896	2969	3325	18665	18243	24639
E12000006	East	360755	96942	67	37802	59073	10405	3141	157420	36311	17310	19001	33504	5235	10040	32093	40237	50608
E23000026	Bedfordshire	40584	10223	7	4406	5810	1042	533	19439	4509	2554	1955	5229	424	867	3703	4707	5523
E23000023	Cambridgeshire	49750	11771	10	4398	7363	1361	521	24200	5283	2296	2987	4520	839	3481	3928	6149	6920
E23000028	Essex	113891	31155	35	12139	18981	2910	1022	51412	13068	6809	6259	11972	1822	2112	10222	12216	15237
E23000027	Hertfordshire	65068	16860	6	6919	9935	1553	510	28227	5645	2838	2807	6275	1215	1227	6367	7498	9066
E23000024	Norfolk7	47400	14748	4	5237	9507	1780	298	16897	3826	1441	2385	2374	454	1229	4041	4973	7191
E23000025	Suffolk8	44062	12185	5	4703	7477	1759	257	17245	3980	1372	2608	3134	481	1124	3832	4694	6671
E12000007	London	747911	189976	112	74700	115164	16631	21407	358826	69619	43972	25647	84058	33714	16608	45898	108929	61959
E23000034	City of London	5183	825	2	389	434	85	40	3123	200	4	196	128	414	294	660	1427	259
E23000001	Metropolitan Police	742728	189151	110	74311	114730	16546	21367	355703	69419	43968	25451	83930	33300	16314	45238	107502	61700
E12000008	South East	537645	155289	60	62751	92478	16536	3656	222668	44860	17748	27112	40850	8074	12196	49719	66969	76857
E23000030	Hampshire	133439	44261	11	18214	26036	4115	701	48049	10730	3518	7212	8367	1371	3166	11488	12927	17790
E23000032	Kent	117267	36629	15	14676	21938	3322	1053	48636	10806	4458	6348	10163	1048	1463	11009	14147	18860
E23000031	Surrey	59237	16630	12	6080	10538	1679	255	23141	5216	2419	2797	4495	398	939	3807	8286	8764
E23000033	Sussex5	96806	28067	11	11636	16420	3087	722	37328	6962	2913	4049	5962	1508	1918	8383	12595	13447
E23000029	Thames Valley	130896	29702	11	12145	17546	4333	925	65514	11146	4440	6706	11863	3749	4710	15032	19014	17996
E12000009	South West	311394	87262	40	34921	52301	9264	2019	130660	30559	12997	17562	24894	3626	6789	28831	35961	44029
E23000036	Avon and Somerset	123776	33644	10	10461	23173	3148	1023	53445	12228	5718	6510	11380	1507	3110	11795	13425	14935
E23000035	Devon and Cornwall	77407	24728	15	11718	12995	2771	371	27015	5669	2404	3265	4312	766	807	6256	9205	12835
E23000039	Dorset	42478	11447	6	4016	7425	1204	198	19444	4672	1530	3142	3590	663	1050	4072	5397	6279
E23000037	Gloucestershire	29519	6121	5	3737	2379	815	231	15716	4385	2022	2363	2815	332	963	3248	3973	4433
E23000038	Wiltshire	38214	11322	4	4989	6329	1326	196	15040	3605	1323	2282	2797	358	859	3460	3961	5547
W92000004	WALES	191776	54623	36	23525	31062	5481	720	74018	16663	6981	9682	14508	1748	2913	17353	20833	31484
W15000004	Dyfed-Powys	21348	6245	8	2852	3385	924	36	6571	1424	624	800	778	81	153	1481	2654	3895
W15000002	Gwent	38091	10518	4	3929	6585	852	163	15189	3966	1586	2380	3156	266	320	3275	4206	6821
W15000001	North Wales	39691	12186	5	5353	6828	1608	148	14378	3440	1371	2069	2013	208	492	3895	4330	7479
W15000003	South Wales	92646	25674	19	11391	14264	2097	373	37880	7833	3400	4433	8561	1193	1948	8702	9643	13289
	British Transport Police	47728	8006	1	2252	5753	1489	335	21664	379	4	375	811	5310	4483	2402	8279	5470
