Area Code	Area Name	"Total recorded crime (excluding fraud3)
"	Violence against the person	Homicide	Violence with injury	Violence without injury	Stalking and harassment4	Death or serious injury - unlawful driving4	Sexual offences	Robbery	Theft offences	Burglary	Residential burglary5,6	Non-residential  burglary5,6	Vehicle offences	Theft from the person	Bicycle theft	Shoplifting	Other theft offences	Criminal damage and arson
K04000001	ENGLAND AND WALES7	4978455	1469200	719	523319	612110	332327	725	154162	79117	2005567	432267	305668	126599	457970	99385	97011	382706	536228	584946
E92000001	ENGLAND	4680317	1378792	686	493019	573844	310549	694	143769	77489	1900958	415531	294577	120954	442059	91620	87908	359764	504076	544486
E12000001	North East	279894	84608	20	24712	33836	25996	44	8600	1559	98005	19774	13944	5830	16332	2299	3541	27344	28715	42492
E23000013	Cleveland	59264	15442	7	5612	6385	3429	9	1740	485	26783	5952	4392	1560	4560	505	960	8501	6305	9368
E23000008	Durham	61991	22383	3	5832	7978	8563	7	2014	277	18991	4545	3180	1365	3539	295	498	4554	5560	9799
E23000007	Northumbria	158639	46783	10	13268	19473	14004	28	4846	797	52231	9277	6372	2905	8233	1499	2083	14289	16850	23325
E12000002	North West	733777	223612	139	75245	94847	53298	83	22021	10166	255983	63821	46130	17691	57385	11072	9310	45965	68430	92252
E23000006	Cheshire	91500	29487	19	10450	11485	7528	5	2958	405	25618	4887	3548	1339	3703	628	1433	7424	7543	10402
E23000002	Cumbria	30775	10537	6	4296	4552	1667	16	1393	98	9605	2131	1219	912	1242	171	267	2835	2959	5162
E23000005	Greater Manchester	343089	96642	75	28531	46719	21289	28	9714	7270	122969	31260	22896	8364	31508	6818	4122	17284	31977	39410
E23000003	Lancashire	139701	48776	16	18093	17962	12690	15	4738	947	51353	13228	8669	4559	10039	1677	1555	9605	15249	19560
E23000004	Merseyside	128712	38170	23	13875	14129	10124	19	3218	1446	46438	12315	9798	2517	10893	1778	1933	8817	10702	17718
E12000003	Yorkshire and The Humber	548101	167742	68	57182	66718	43650	124	16715	5913	214519	54072	38585	15487	46208	7417	7287	45509	54026	70261
E23000012	Humberside	90761	27264	16	10295	11527	5395	31	2768	915	37076	8940	6459	2481	6387	693	2328	10091	8637	12888
E23000009	North Yorkshire	40782	11811	3	5112	4821	1849	26	1649	183	16822	3658	2235	1423	2473	444	1095	4686	4466	5934
E23000011	South Yorkshire	142671	40456	15	14093	12686	13641	21	4129	1571	57745	14238	9919	4319	13263	2120	1306	11816	15002	19245
E23000010	West Yorkshire	273887	88211	34	27682	37684	22765	46	8169	3244	102876	27236	19972	7264	24085	4160	2558	18916	25921	32194
E12000004	East Midlands	338490	92773	52	39949	36067	16675	30	11182	3858	151444	33765	23329	10436	35086	3164	6557	33414	39458	42717
E23000018	Derbyshire	56276	14035	4	8521	4076	1432	2	1874	640	26239	6251	4488	1763	5936	645	946	6227	6234	7958
E23000021	Leicestershire	84571	23454	16	7442	10357	5628	11	2233	938	38402	8901	6092	2809	9558	814	2019	6803	10307	10121
E23000020	Lincolnshire	42339	10477	9	4801	4284	1375	8	1645	263	19545	4439	3137	1302	3206	280	1067	5647	4906	5685
