Area Code	Area Name	Total recorded crime (excluding fraud3)	Violence against the person	Homicide	Violence with injury	Violence without injury	Stalking and harassment 4	Death or serious injury - unlawful driving 4	Sexual offences	Robbery	Theft offences	Burglary	Residential burglary5	Non-residential burglary5	Vehicle offences	Theft from the person	Bicycle theft	Shoplifting	Other theft offences	Criminal damage and arson
K04000001	ENGLAND AND WALES6	5279956	1694644	681	543089	691266	458881	727	163076	88177	2009125	417416	291820	125596	469915	109096	97512	368745	546441	568131
E92000001	ENGLAND	4949875	1586671	646	511422	647075	426837	691	152283	86273	1900499	401297	281250	120047	454083	98530	87914	345513	513162	527114
E12000001	North East	289716	95647	39	24966	36596	33984	62	8572	1655	95044	18585	12301	6284	15696	2355	3353	27302	27753	41472
E23000013	Cleveland	68509	23021	14	5844	8408	8746	9	1817	605	25337	5429	3923	1506	3933	527	969	8284	6195	9690
E23000008	Durham	63212	24808	8	5647	8618	10517	18	1883	211	18347	4191	2929	1262	2974	293	475	5092	5322	9561
E23000007	Northumbria	157995	47818	17	13475	19570	14721	35	4872	839	51360	8965	5449	3516	8789	1535	1909	13926	16236	22221
E12000002	North West 7,8	753795	253897	116	77395	105606	70718	62	22443	10691	250091	59197	42101	17096	56633	12422	9233	44356	68250	84667
E23000006	Cheshire7	92516	33322	5	10061	12984	10268	4	2716	483	24753	4615	3205	1410	3785	685	1556	6722	7390	9715
E23000002	Cumbria	37545	14960	3	4923	5893	4131	10	1634	140	9615	2073	1240	833	1107	196	277	2790	3172	5687
E23000005	Greater Manchester	328268	97781	61	28355	44468	24864	33	9523	7416	120557	29092	21172	7920	31565	7504	3924	17493	30979	34314
E23000003	Lancashire 8	162194	62406	26	19487	23798	19095	0	5320	1249	52967	13575	9154	4421	10150	1706	1641	9192	16703	19350
E23000004	Merseyside	133272	45428	21	14569	18463	12360	15	3250	1403	42199	9842	7330	2512	10026	2331	1835	8159	10006	15601
E12000003	Yorkshire and The Humber	588167	203620	73	59777	77523	66133	114	17712	6832	205327	52381	37094	15287	44036	7224	6792	43261	51633	67204
E23000012	Humberside	102654	34857	10	11115	13434	10275	23	3177	981	36059	8302	5916	2386	5897	716	2224	10786	8134	13079
