Area Code	Area Name	"Total recorded crime
 (excluding fraud)
 [note 2]"	"Violence
 against
 the person"	Homicide	Violence with injury	Violence without injury	"Stalking and
 harassment"	"Death or serious
 injury - unlawful
 driving"	Sexual offences	Robbery	Theft offences	"Burglary
 [note 3]"	"Residential
 burglary [note 3]"	"Non-residential
 burglary [note 3]"	Vehicle offences	Theft from the person	Bicycle theft	Shoplifting	Other theft offences	"Criminal damage
 and arson"	Drug offences	"Possession of
 weapons offences"	Public order offences	Miscellaneous crimes
K04000001	ENGLAND AND WALES [note 4]	4856063	1885618	627	494136	716521	673605	729	164763	62803	1358226	265508	195497	70011	344487	59421	79160	247068	362582	502802	198140	45630	524572	113509
E92000001	ENGLAND 	4573648	1777131	599	467351	677995	630491	695	155727	60966	1295455	254787	187791	66996	333806	55883	74049	234242	342688	466407	183352	43264	483935	107411
E12000001	North East	254730	99138	19	24105	33985	40986	43	8450	1424	61172	12200	9085	3115	11075	1231	2568	15922	18176	36859	7336	1961	30812	7578
E23000013	Cleveland	65461	25360	7	5579	9339	10420	15	2125	568	16149	3772	2930	842	2750	332	506	4337	4452	9210	2374	590	7131	1954
E23000008	Durham	57363	25390	4	5013	8185	12177	11	1873	175	12302	2595	1823	772	2102	195	363	3473	3574	8602	1440	279	5602	1700
E23000007	Northumbria	131906	48388	8	13513	16461	18389	17	4452	681	32721	5833	4332	1501	6223	704	1699	8112	10150	19047	3522	1092	18079	3924
E12000002	North West	693702	280139	98	67598	108372	103917	154	22808	7340	168133	40498	30622	9876	39883	6052	7182	30046	44472	74546	27379	7054	88699	17604
E23000006	Cheshire	87706	40529	10	9531	12889	18096	3	3231	420	16276	3315	2540	775	2441	204	928	4255	5133	8149	1853	314	15231	1703
E23000002	Cumbria	32233	14109	5	3847	5147	5095	15	1345	124	6085	1415	901	514	681	79	190	1534	2186	4545	1087	248	4006	684
E23000005	Greater Manchester	307349	113944	52	25302	47238	41270	82	10115	4754	84119	20418	15938	4480	23964	3998	3610	12169	19960	31422	8676	3879	41674	8766
E23000003	Lancashire [note 5]	127748	55870	16	15519	20076	20238	21	4412	950	32318	7951	5368	2583	6542	658	905	6223	10039	16198	3043	1341	10402	3214
E23000004	Merseyside	138666	55687	15	13399	23022	19218	33	3705	1092	29335	7399	5875	1524	6255	1113	1549	5865	7154	14232	12720	1272	17386	3237
E12000003	Yorkshire and The Humber	528510	212569	55	53069	75365	83964	116	16821	4639	129593	30967	23151	7816	28557	2913	4913	26974	35269	60035	17422	4957	67067	15407
E23000012	Humberside	88959	34982	9	9786	12312	12852	23	2854	690	21445	5257	4059	1198	3124	338	1237	5736	5753	10916	2326	600	12518	2628
E23000009	North Yorkshire	42015	17276	2	5931	6332	4994	17	1707	223	10430	2174	1374	800	1447	142	891	2791	2985	5375	1837	388	3883	896
E23000011	South Yorkshire	135779	49216	17	13066	16692	19429	12	4061	1419	38278	10142	7505	2637	10631	586	971	6646	9302	16327	4606	1716	15370	4786
E23000010	West Yorkshire	261757	111095	27	24286	40029	46689	64	8199	2307	59440	13394	10213	3181	13355	1847	1814	11801	17229	27417	8653	2253	35296	7097
E12000004	East Midlands	373707	148558	54	42608	50698	55149	49	14113	3217	98317	19332	13931	5401	21510	2254	5163	22695	27363	41577	14272	3896	39552	10205
E23000018	Derbyshire [note 6]	79258	32684	12	8350	12186	12125	11	2912	579	19049	4119	3008	1111	4119	474	810	4091	5436	9053	2698	828	9417	2038
E23000021	Leicestershire	91192	36130	13	12237	9373	14490	17	3634	755	21950	4213	3102	1111	5712	587	1437	3165	6836	9961	3611	788	11920	2443
E23000020	Lincolnshire 	51171	20372	14	5530	7385	7439	4	1984	286	14024	3003	2088	915	2100	140	879	4016	3886	6150	1712	523	4855	1265
E23000022	Northamptonshire	62969	28160	7	7244	10540	10364	5	2724	792	15173	3133	2128	1005	3964	269	703	2704	4400	5954	1913	705	5903	1645
E23000019	Nottinghamshire	89117	31212	8	9247	11214	10731	12	2859	805	28121	4864	3605	1259	5615	784	1334	8719	6805	10459	4338	1052	7457	2814
E12000005	West Midlands	485538	217254	98	56913	78790	81378	75	17188	8672	130837	28016	20922	7094	38186	3142	4260	24226	33007	39467	11963	6025	43872	10260
E23000015	Staffordshire	68982	31435	16	7569	10350	13498	2	2612	620	18494	3112	2088	1024	3958	269	772	4513	5870	8381	1329	544	4316	1251
E23000017	Warwickshire	37392	15146	10	4039	5933	5151	13	1377	314	11041	1995	1399	596	3116	172	383	2310	3065	3680	1343	428	3172	891
E23000016	West Mercia	76534	33124	19	9370	11638	12081	16	3500	501	20403	4490	3252	1238	3513	363	743	5307	5987	8216	2640	833	5747	1570
E23000014	West Midlands 	302630	137549	53	35935	50869	50648	44	9699	7237	80899	18419	14183	4236	27599	2338	2362	12096	18085	19190	6651	4220	30637	6548
E12000006	East 	453443	186328	51	43686	77445	65043	103	16482	3690	120904	20422	14108	6314	31080	3091	8389	24987	32935	45840	17454	3760	47713	11272
E23000026	Bedfordshire	48761	17669	7	4333	7576	5743	10	1471	567	15582	2956	2089	867	4748	386	824	2911	3757	4834	1729	411	5439	1059
E23000023	Cambridgeshire	62428	23453	10	4819	11232	7357	35	2269	585	18655	3339	2025	1314	3881	506	3297	2768	4864	6650	2092	616	6464	1644
E23000028	Essex	154019	67637	21	13965	25800	27828	23	5427	1307	37295	6340	4673	1667	10932	887	1660	7536	9940	14593	6407	1221	16663	3469
E23000027	Hertfordshire	73394	26051	4	7835	11534	6661	17	2171	638	26328	3592	2504	1088	7383	747	1156	6581	6869	7437	2850	557	5786	1576
E23000024	Norfolk	65661	30258	4	7395	12088	10758	13	2777	327	11863	2174	1479	695	1660	297	885	2744	4103	7004	2577	549	7948	2358
E23000025	Suffolk	49180	21260	5	5339	9215	6696	5	2367	266	11181	2021	1338	683	2476	268	567	2447	3402	5322	1799	406	5413	1166
E12000007	London	774358	226649	128	68401	90157	67963	0	21026	24156	325619	56424	43374	13050	101799	30509	24990	34008	77889	51405	49332	5863	58394	11914
E23000034	London, City of	4246	589	0	147	356	86	0	52	85	2074	125	18	107	127	389	371	594	468	203	687	46	321	189
E23000001	Metropolitan Police	770112	226060	128	68254	89801	67877	0	20974	24071	323545	56299	43356	12943	101672	30120	24619	33414	77421	51202	48645	5817	58073	11725
E12000008	South East	663653	268198	55	69686	109339	89007	111	24991	4823	172992	30316	21905	8411	41508	4962	11050	37150	48006	73086	25690	6759	70621	16493
E23000030	Hampshire	149807	61169	14	18460	23557	19125	13	6077	1249	37307	8274	5869	2405	8516	706	2340	8607	8864	15058	5927	1830	18562	2628
E23000032	Kent	170839	79739	10	16871	33942	28869	47	6209	1207	37767	6602	5069	1533	8325	818	1122	9293	11607	20692	4308	1166	13887	5864
E23000031	Surrey	68660	24965	2	6848	10310	7789	16	2251	403	19070	3544	2814	730	5412	345	1095	3128	5546	7882	3280	588	8631	1590
E23000033	Sussex	112243	42387	11	12500	17001	12848	27	4576	914	29809	4621	2882	1739	6574	770	2096	7019	8729	13066	4679	1561	12340	2911
E23000029	Thames Valley	162104	59938	18	15007	24529	20376	8	5878	1050	49039	7275	5271	2004	12681	2323	4397	9103	13260	16388	7496	1614	17201	3500
E12000009	South West	346007	138298	41	41285	53844	43084	44	13848	3005	87888	16612	10693	5919	20208	1729	5534	18234	25571	43592	12504	2989	37205	6678
E23000036	Avon and Somerset	124865	45401	11	11048	19279	15063	0	4266	1466	34186	6341	4575	1766	8835	771	2642	6637	8960	14300	3399	845	18770	2232
E23000035	Devon and Cornwall	94814	42416	16	14094	15544	12730	32	4542	523	18166	3481	1642	1839	3248	364	515	4017	6541	13127	4890	1230	7777	2143
E23000039	Dorset	48873	19083	5	5462	7545	6071	0	1986	344	15056	2878	1756	1122	3787	285	1275	2552	4279	6503	1306	301	3769	525
E23000037	Gloucestershire	39277	15640	8	5128	5160	5332	12	1504	342	11006	2278	1657	621	2288	149	588	2606	3097	4676	1493	265	3399	952
E23000038	Wiltshire	38178	15758	1	5553	6316	3888	0	1550	330	9474	1634	1063	571	2050	160	514	2422	2694	4986	1416	348	3490	826
W92000004	WALES	241921	100896	26	24752	33130	42954	34	8129	1001	51955	10720	7705	3015	10118	896	2176	12061	15984	28980	10755	1517	33061	5627
W15000004	Dyfed-Powys	35907	17393	3	3316	5824	8249	1	1344	52	5587	1336	962	374	646	81	143	1154	2227	3942	2025	274	4465	825
W15000002	Gwent [note 7]	49146	18816	7	4869	6080	7853	7	1388	261	10426	2530	1883	647	2225	144	305	2105	3117	7235	1706	240	7639	1435
W15000001	North Wales	57160	27304	7	6052	10234	11004	7	2210	189	10038	2024	1433	591	1141	102	341	2828	3602	6704	1740	275	7328	1372
W15000003	South Wales	99708	37383	9	10515	10992	15848	19	3187	499	25904	4830	3427	1403	6106	569	1387	5974	7038	11099	5284	728	13629	1995
	British Transport Police	40494	7591	2	2033	5396	160	0	907	836	10816	1	1	0	563	2642	2935	765	3910	7415	4033	849	7576	471
