Year;Official Code Country;Official Name Country;Official Code Region;Official Name Region;Official Code County/Unitary district;Official Name County/Unitary district;Official Code Local authority district;Official Name Local authority district;Iso 3166-3 Area Code;Type
2022;E92000001;England;E12000006;East of England;E10000012;Essex;E07000069;Castle Point;GBR;non-metropolitan district
2022;E92000001;England;E12000002;North West;E10000017;Lancashire;E07000118;Chorley;GBR;non-metropolitan district
2022;E92000001;England;E12000008;South East;E10000014;Hampshire;E07000092;Rushmoor;GBR;non-metropolitan district
2022;S92000003;Scotland;S92000003;Scotland;S12000028;South Ayrshire;S12000028;South Ayrshire;GBR;council area
2022;W92000004;Wales;W92000004;Wales;W06000020;Torfaen;W06000020;Torfaen;GBR;unitary authority
2022;E92000001;England;E12000005;West Midlands;E08000031;Wolverhampton;E08000031;Wolverhampton;GBR;metropolitan district
2022;E92000001;England;E12000006;East of England;E10000015;Hertfordshire;E07000095;Broxbourne;GBR;non-metropolitan district
2022;E92000001;England;E12000007;London;E09000013;Hammersmith and Fulham;E09000013;Hammersmith and Fulham;GBR;London borough
2022;E92000001;England;E12000002;North West;E10000017;Lancashire;E07000127;West Lancashire;GBR;non-metropolitan district
2022;E92000001;England;E12000005;West Midlands;E10000034;Worcestershire;E07000239;Wyre Forest;GBR;non-metropolitan district
2022;E92000001;England;E12000004;East Midlands;E10000024;Nottinghamshire;E07000175;Newark and Sherwood;GBR;non-metropolitan district
2022;E92000001;England;E12000006;East of England;E10000003;Cambridgeshire;E07000008;Cambridge;GBR;non-metropolitan district
2022;E92000001;England;E12000004;East Midlands;E06000017;Rutland;E06000017;Rutland;GBR;unitary authority
2022;E92000001;England;E12000008;South East;E10000030;Surrey;E07000207;Elmbridge;GBR;non-metropolitan district
2022;E92000001;England;E12000003;Yorkshire and The Humber;E08000019;Sheffield;E08000019;Sheffield;GBR;metropolitan district
2022;E92000001;England;E12000009;South West;E10000013;Gloucestershire;E07000080;Forest of Dean;GBR;non-metropolitan district
2022;S92000003;Scotland;S92000003;Scotland;S12000008;East Ayrshire;S12000008;East Ayrshire;GBR;council area
2022;;;;;;;;;;
2022;E92000001;England;E12000007;London;E09000025;Newham;E09000025;Newham;GBR;London borough
2022;E92000001;England;E12000004;East Midlands;E10000024;Nottinghamshire;E07000174;Mansfield;GBR;non-metropolitan district
2022;E92000001;England;E12000006;East of England;E10000003;Cambridgeshire;E07000011;Huntingdonshire;GBR;non-metropolitan district
2022;W92000004;Wales;W92000004;Wales;W06000014;Vale of Glamorgan;W06000014;Vale of Glamorgan;GBR;unitary authority
2022;E92000001;England;E12000003;Yorkshire and The Humber;E10000023;North Yorkshire;E07000164;Hambleton;GBR;non-metropolitan district
2022;W92000004;Wales;W92000004;Wales;W06000008;Ceredigion;W06000008;Ceredigion;GBR;unitary authority
2022;;;;;;;;;;
2022;E92000001;England;E12000008;South East;E10000016;Kent;E07000106;Canterbury;GBR;non-metropolitan district
2022;W92000004;Wales;W92000004;Wales;W06000015;Cardiff;W06000015;Cardiff;GBR;unitary authority
2022;E92000001;England;E12000007;London;E09000020;Kensington and Chelsea;E09000020;Kensington and Chelsea;GBR;London borough
2022;E92000001;England;E12000009;South West;E10000008;Devon;E07000040;East Devon;GBR;non-metropolitan district
2022;E92000001;England;E12000004;East Midlands;E10000019;Lincolnshire;E07000140;South Holland;GBR;non-metropolitan district
2022;E92000001;England;E12000007;London;E09000029;Sutton;E09000029;Sutton;GBR;London borough
2022;E92000001;England;E12000008;South East;E10000016;Kent;E07000109;Gravesham;GBR;non-metropolitan district
2022;E92000001;England;E12000007;London;E09000026;Redbridge;E09000026;Redbridge;GBR;London borough
2022;S92000003;Scotland;S92000003;Scotland;S12000005;Clackmannanshire;S12000005;Clackmannanshire;GBR;council area
2022;E92000001;England;E12000003;Yorkshire and The Humber;E06000011;East Riding of Yorkshire;E06000011;East Riding of Yorkshire;GBR;unitary authority
2022;;;;;;;;;;
2022;E92000001;England;E12000007;London;E09000017;Hillingdon;E09000017;Hillingdon;GBR;London borough
2022;E92000001;England;E12000006;East of England;E10000015;Hertfordshire;E07000241;Welwyn Hatfield;GBR;non-metropolitan district
2022;W92000004;Wales;W92000004;Wales;W06000005;Flintshire;W06000005;Flintshire;GBR;unitary authority
2022;E92000001;England;E12000006;East of England;E06000056;Central Bedfordshire;E06000056;Central Bedfordshire;GBR;unitary authority
